City,Country,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
Kumluca,TR,78.42,0,57,1.54,36.37,30.29
Iqaluit,CA,42.8,90,100,5.82,63.75,-68.51
Kovūr,IN,80.89,100,82,9.46,14.48,79.98
Katsuura,JP,78.01,75,94,1.12,35.13,140.3
Poum,NC,71.82,34,63,12.01,-20.23,164.02
Kaeo,NZ,60.01,71,3,1.01,-35.1,173.78
Presidencia Roque Sáenz Peña,AR,78.39,72,47,9.04,-26.79,-60.44
Rocky Mount,US,96.8,1,50,10.29,35.94,-77.79
Torbay,CA,71.6,20,49,11.41,47.67,-52.73
Adiaké,CI,75.2,20,100,5.82,5.29,-3.3
Poronaysk,RU,60.64,100,94,5.21,49.22,143.12
Mongo,TD,74.8,91,78,14.63,12.18,18.69
Krasnyye Baki,RU,59.52,96,98,4.03,57.13,45.16
Narsaq,GL,60.8,21,38,6.93,60.92,-46.05
Troisdorf,DE,70.0,61,72,6.93,50.82,7.17
Klyuchi,RU,62.94,8,88,5.39,52.27,79.17
Peniche,PT,64.99,2,85,4.0,39.36,-9.38
Leningradskiy,RU,41.05,52,71,7.54,69.38,178.42
Araouane,ML,97.57,30,26,0.04,18.9,-3.53
Kuna,US,93.99,1,16,11.41,43.49,-116.42
Le Port,RE,64.4,42,63,8.05,-20.94,55.29
Shache,CN,68.14,0,55,5.48,38.42,77.24
Avera,US,96.8,1,37,8.05,33.19,-82.53
Artesia,US,87.01,1,47,12.75,33.87,-118.08
Kargopol',RU,52.43,0,83,1.9,61.51,38.95
Isangel,VU,75.2,40,73,4.7,-19.55,169.27
Mpulungu,ZM,66.31,0,60,9.89,-8.76,31.11
Marsá Maţrūḩ,EG,75.2,20,78,8.21,31.35,27.25
Longyearbyen,SJ,44.6,75,87,11.41,78.22,15.64
Bilibino,RU,67.64,0,38,1.19,68.05,166.44
Waipawa,NZ,62.01,90,59,9.84,-41.41,175.52
Chumphon,TH,74.08,100,98,0.92,10.33,98.83
Natal,BR,77.0,40,88,8.05,-5.79,-35.21
Ürümqi,CN,78.8,94,41,6.71,43.8,87.6
Saint Anthony,US,82.4,1,39,19.46,45.02,-93.22
Coquimbo,CL,55.4,100,87,6.93,-29.95,-71.34
Port Hardy,CA,68.0,20,64,19.46,50.7,-127.42
Carutapera,BR,76.19,89,85,6.49,-1.2,-46.02
Mt. Pleasant,US,88.0,1,70,10.29,32.79,-79.86
Dunedin,NZ,48.0,67,72,5.99,-45.87,170.5
Aswān,EG,88.03,28,16,7.85,24.09,32.91
Golyshmanovo,RU,66.36,32,86,5.88,56.4,68.37
Henties Bay,NA,72.0,0,24,7.87,-22.12,14.28
Magadan,RU,60.66,16,62,3.87,59.57,150.8
Opuwo,NA,53.01,0,42,9.1,-18.06,13.84
Caravelas,BR,71.94,92,82,7.27,-17.71,-39.25
La Ronge,CA,68.0,75,68,9.17,55.1,-105.28
Saint-Joseph,RE,62.6,40,72,4.7,-21.37,55.62
Half Moon Bay,US,75.99,5,56,9.17,37.46,-122.43
Lata,PT,66.0,0,82,2.01,40.16,-8.33
Kilindoni,TZ,76.84,0,71,22.12,-7.91,39.67
Alyangula,AU,64.4,0,100,2.24,-13.85,136.42
Gushikawa,JP,84.0,1,88,3.36,26.35,127.87
Pangnirtung,CA,59.34,100,52,1.61,66.15,-65.71
Panguna,PG,78.26,0,71,1.48,-6.32,155.48
San Patricio,MX,87.8,40,74,11.41,19.22,-104.7
Gramsh,AL,59.97,0,70,2.55,40.87,20.18
Gravdal,NO,54.54,87,87,10.63,68.12,13.5
Abnūb,EG,80.6,3,44,6.93,27.27,31.15
Maniitsoq,GL,50.79,69,79,2.28,65.42,-52.9
Tura,IN,74.61,100,99,7.02,25.52,90.22
San Vicente,AR,64.06,1,83,3.67,-26.62,-54.13
Shirokiy,RU,67.8,100,76,11.21,49.76,129.52
Kudahuvadhoo,MV,82.58,100,79,21.63,2.67,72.89
Duminichi,RU,54.36,17,92,3.36,53.93,35.11
Bahía Blanca,AR,54.23,84,73,10.2,-38.72,-62.27
Balasheyka,RU,57.16,0,92,5.57,53.28,48.09
Antalaha,MG,66.69,7,83,10.87,-14.9,50.28
Arlit,NE,90.27,68,33,12.53,18.74,7.39
‘Āhuimanu,US,89.6,75,65,14.99,21.44,-157.84
Padang,ID,73.4,40,94,2.24,-0.95,100.35
Piquete,BR,59.81,0,65,1.79,-22.61,-45.18
Roald,NO,53.6,10,87,8.05,62.58,6.13
Samthar,IN,89.46,97,62,10.8,25.85,78.92
Izumo,JP,80.6,75,83,5.82,35.37,132.77
Tcholliré,CM,71.35,97,95,2.44,8.4,14.17
Tuburan,PH,75.2,75,94,2.24,6.64,122.27
Ankang,CN,72.0,32,62,1.16,32.68,109.02
Taoudenni,ML,101.97,46,15,5.61,22.68,-3.98
Port Lincoln,AU,52.14,55,70,5.79,-34.73,135.87
Kupang,ID,73.4,20,83,9.17,-10.17,123.58
Beyneu,KZ,86.0,0,23,14.76,45.32,55.2
Lékoni,GA,76.82,91,69,3.6,-1.58,14.26
Sur,OM,85.75,63,75,12.73,22.57,59.53
Victoria Point,AU,63.0,0,72,4.0,-27.58,153.3
Lovozero,RU,60.4,4,80,5.82,68.0,35.01
Emerald,AU,60.01,1,62,5.82,-23.53,148.17
Gizo Government Station,SB,82.02,12,74,4.94,-8.1,156.84
Fare,PF,77.76,80,81,20.24,-16.7,-151.02
Bandarbeyla,SO,79.79,71,62,23.29,9.49,50.81
Flin Flon,CA,73.4,20,38,8.05,54.77,-101.86
Pilar,BR,71.6,90,100,6.93,-9.6,-35.96
Tiksi,RU,61.77,16,59,9.26,71.69,128.87
Äänekoski,FI,62.01,77,100,1.12,62.69,25.82
Denpasar,ID,78.8,75,100,10.29,-8.65,115.22
Patna,IN,78.8,75,94,4.7,25.6,85.12
Xinqing,CN,60.69,100,95,5.73,48.23,129.5
Forsytheganj,BY,57.31,4,89,2.66,52.63,29.73
Acarí,PE,62.33,67,65,4.45,-15.43,-74.62
Pisco,PE,64.4,20,77,18.34,-13.7,-76.22
Havøysund,NO,53.6,99,76,4.7,71.0,24.66
Pemangkat,ID,75.51,78,85,5.12,1.17,108.97
Dryden,CA,57.2,90,76,6.93,49.78,-92.75
Concarneau,FR,59.0,78,93,10.29,47.88,-3.92
Río Gallegos,AR,32.0,40,90,4.7,-51.62,-69.22
Sovetsk,RU,62.31,100,90,3.56,55.08,21.88
Shalinskoye,RU,52.79,26,83,2.73,55.72,93.76
Arkhangelsk,RU,51.8,0,93,2.24,64.54,40.54
Carballo,ES,69.01,20,88,6.93,43.21,-8.69
Muros,ES,66.0,2,82,11.01,42.78,-9.06
Nouadhibou,MR,71.6,11,88,12.75,20.93,-17.03
Nishihara,JP,84.2,75,88,8.05,26.18,127.76
Pak Phanang,TH,79.11,84,84,5.68,8.35,100.2
Nakasongola,UG,61.99,19,85,2.19,1.31,32.46
Srostki,RU,58.14,55,89,3.51,52.42,85.7
Los Teques,VE,82.4,40,74,5.82,10.34,-67.04
Road Town,VG,86.0,20,66,12.75,18.42,-64.62
Lethem,GY,78.17,98,84,6.04,3.38,-59.8
Bagpat,IN,87.01,75,88,4.7,28.95,77.22
Mayo,US,93.2,1,66,11.41,38.89,-76.51
Verkhoyansk,RU,68.63,51,65,5.06,67.54,133.38
Champerico,GT,82.4,75,88,6.93,14.3,-91.92
Kenai,US,62.6,90,77,16.11,60.55,-151.26
Edd,ER,91.44,99,57,0.58,13.93,41.69
Waiouru,NZ,52.97,17,67,3.27,-39.48,175.67
Kununurra,AU,57.2,0,25,5.55,-15.77,128.73
Karatau,KZ,79.29,29,16,8.63,43.17,70.47
Lamesa,US,95.0,90,26,9.17,32.74,-101.95
Kidal,ML,89.64,45,35,5.3,18.44,1.41
Robertsport,LR,76.86,100,87,11.54,6.75,-11.37
Macas,EC,66.2,40,82,8.05,-2.32,-78.12
Luganville,VU,75.2,75,69,4.7,-15.53,167.17
Jieshi,CN,83.28,100,82,7.31,22.81,115.83
Philadelphia,US,93.99,20,46,10.29,39.95,-75.16
Vestmannaeyjar,IS,49.64,34,81,12.37,63.44,-20.27
Port Hedland,AU,59.0,0,67,9.17,-20.32,118.57
Kunnamkulam,IN,78.8,75,88,3.36,10.65,76.08
Ukiah,US,96.8,1,26,6.93,39.15,-123.21
Vila Velha,BR,69.8,75,94,5.82,-20.33,-40.29
Deputatsky,RU,59.83,100,65,2.93,69.3,139.9
Kołobrzeg,PL,71.01,97,75,8.75,54.18,15.58
Pierre,US,80.6,1,39,9.17,44.37,-100.35
Sinnamary,GF,79.11,84,82,9.13,5.38,-52.95
Chișinău,MD,66.2,57,82,3.36,47.01,28.86
Oxapampa,PE,62.13,39,85,1.1,-10.58,-75.4
Tessalit,ML,88.7,9,30,8.55,20.2,1.01
Adolfo López Mateos,MX,75.0,81,50,5.99,28.47,-107.3
Noumea,NC,72.0,35,77,4.7,-22.28,166.46
Darnah,LY,75.04,0,77,17.11,32.77,22.64
Grindavik,IS,48.2,75,87,6.93,63.84,-22.43
Raja,SS,67.57,100,95,3.87,8.46,25.68
Province of Mantua,IT,71.01,0,65,3.0,45.17,10.78
Erenhot,CN,72.0,8,32,6.69,43.65,111.98
Paamiut,GL,47.71,93,79,2.91,61.99,-49.67
Geraldton,AU,48.2,0,81,1.12,-28.77,114.6
Gympie,AU,55.99,0,90,2.89,-26.19,152.66
Obo,CF,66.79,100,97,3.18,5.4,26.49
Singaraja,ID,77.85,9,74,3.2,-8.11,115.09
Esso,RU,51.96,98,68,5.59,55.93,158.7
Roebourne,AU,61.54,0,69,12.3,-20.78,117.13
Alta Floresta,BR,79.23,74,39,4.81,-9.88,-56.09
Colesberg,ZA,40.78,0,58,2.3,-30.72,25.1
Nago,JP,84.0,1,88,3.36,26.59,127.98
Cap Malheureux,MU,66.0,33,78,3.0,-19.98,57.61
Kipini,KE,76.55,64,72,20.36,-2.53,40.53
Marquette,US,80.01,23,41,7.0,46.53,-87.63
