City,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Beringovskiy,58,RU,1970-01-01 00:00:01.595199926,78,45.14,63.05,179.32,15.57
Yerbogachën,68,RU,1970-01-01 00:00:01.595199839,80,53.87,61.28,108.01,0.92
Cairns,20,AU,1970-01-01 00:00:01.595199842,77,64.4,-16.92,145.77,9.17
Seoul,90,KR,1970-01-01 00:00:01.595199747,83,78.8,37.57,126.98,5.82
Bemidji,40,US,1970-01-01 00:00:01.595199926,52,73.0,47.47,-94.88,16.11
Tabuk,5,PH,1970-01-01 00:00:01.595199926,82,76.75,17.42,121.44,3.62
Constitución,78,CL,1970-01-01 00:00:01.595199926,88,53.38,-35.33,-72.42,7.74
Chui,96,UY,1970-01-01 00:00:01.595199926,83,66.99,-33.7,-53.46,7.45
Gijón,90,ES,1970-01-01 00:00:01.595199927,93,68.0,43.54,-5.66,2.24
Thompson,75,CA,1970-01-01 00:00:01.595199927,41,75.2,55.74,-97.86,9.17
Souillac,75,MU,1970-01-01 00:00:01.595199664,77,68.0,-20.52,57.52,14.99
Guerrero Negro,4,MX,1970-01-01 00:00:01.595199927,63,77.29,27.98,-114.06,17.92
São João da Barra,0,BR,1970-01-01 00:00:01.595199736,87,70.56,-21.64,-41.05,11.1
Hambantota,85,LK,1970-01-01 00:00:01.595199927,83,79.23,6.12,81.12,7.07
Kaitangata,97,NZ,1970-01-01 00:00:01.595199927,74,46.99,-46.28,169.85,5.99
Arraial do Cabo,0,BR,1970-01-01 00:00:01.595199927,84,71.19,-22.97,-42.03,23.0
Fes,14,MA,1970-01-01 00:00:01.595199715,45,86.0,34.04,-5.0,10.29
New Norfolk,78,AU,1970-01-01 00:00:01.595199928,78,45.0,-42.78,147.06,5.99
Berbera,1,SO,1970-01-01 00:00:01.595199928,45,87.53,10.44,45.01,21.0
Mataura,90,NZ,1970-01-01 00:00:01.595199707,83,39.0,-46.19,168.86,3.0
Turukhansk,100,RU,1970-01-01 00:00:01.595199928,64,56.52,65.82,87.98,5.95
Bredasdorp,4,ZA,1970-01-01 00:00:01.595199928,93,55.4,-34.53,20.04,0.69
Laas,20,IT,1970-01-01 00:00:01.595199713,72,60.8,46.62,10.7,3.36
Snezhnogorsk,8,RU,1970-01-01 00:00:01.595199929,87,57.2,69.19,33.25,9.42
Bontang,7,ID,1970-01-01 00:00:01.595199929,88,77.14,0.13,117.5,5.41
Virginia Beach,75,US,1970-01-01 00:00:01.595199674,59,96.01,36.85,-75.98,6.93
Buluang,99,PH,1970-01-01 00:00:01.595199929,84,78.71,13.31,123.34,1.45
Las Mercedes,53,VE,1970-01-01 00:00:01.595199929,92,76.73,9.11,-66.4,2.91
Meulaboh,97,ID,1970-01-01 00:00:01.595199929,85,78.22,4.14,96.13,4.56
Hermanus,3,ZA,1970-01-01 00:00:01.595199702,96,53.01,-34.42,19.23,3.0
Te Anau,100,NZ,1970-01-01 00:00:01.595199929,85,45.81,-45.42,167.72,1.68
Taveta,56,KE,1970-01-01 00:00:01.595199930,79,63.93,-3.4,37.67,6.22
Cockburn Town,40,TC,1970-01-01 00:00:01.595199930,74,84.2,21.46,-71.14,18.34
Sitka,90,US,1970-01-01 00:00:01.595199930,100,55.4,57.05,-135.33,8.05
Muravlenko,94,RU,1970-01-01 00:00:01.595199930,83,52.68,63.79,74.52,20.49
Sakakah,0,SA,1970-01-01 00:00:01.595199930,9,93.2,29.97,40.21,11.41
Bambous Virieux,75,MU,1970-01-01 00:00:01.595199922,77,68.0,-20.34,57.76,14.99
Upernavik,64,GL,1970-01-01 00:00:01.595199930,54,49.46,72.79,-56.15,7.4
Touros,40,BR,1970-01-01 00:00:01.595199931,88,77.0,-5.2,-35.46,4.7
Nueva Gerona,98,CU,1970-01-01 00:00:01.595199826,59,86.38,21.88,-82.8,4.41
Eugene,20,US,1970-01-01 00:00:01.595199921,29,90.0,44.05,-123.09,12.75
Cidreira,57,BR,1970-01-01 00:00:01.595199931,78,66.33,-30.18,-50.21,9.89
Yellowknife,75,CA,1970-01-01 00:00:01.595199637,56,71.6,62.46,-114.35,10.29
Ust-Nera,100,RU,1970-01-01 00:00:01.595199931,63,60.73,64.57,143.2,4.45
Dawlatabad,0,AF,1970-01-01 00:00:01.595199931,17,78.93,36.41,64.91,6.8
Vargashi,63,RU,1970-01-01 00:00:01.595199931,75,69.87,55.36,65.85,2.59
Nikolskoye,5,RU,1970-01-01 00:00:01.595199698,77,62.6,59.7,30.79,4.47
Barrow,40,US,1970-01-01 00:00:01.595199932,74,37.4,71.29,-156.79,12.75
Am Timan,100,TD,1970-01-01 00:00:01.595199725,91,72.05,11.03,20.28,8.21
Aklavik,75,CA,1970-01-01 00:00:01.595199923,66,50.0,68.22,-135.01,2.24
Marzuq,28,YE,1970-01-01 00:00:01.595199932,50,78.13,14.4,46.47,2.15
Kungurtug,0,RU,1970-01-01 00:00:01.595199932,50,51.21,50.6,97.52,1.32
Yulara,90,AU,1970-01-01 00:00:01.595199932,71,53.6,-25.24,130.99,10.29
Tasiilaq,0,GL,1970-01-01 00:00:01.595199933,76,50.0,65.61,-37.64,9.17
Berlevåg,100,NO,1970-01-01 00:00:01.595199933,88,52.36,70.86,29.09,7.0
College,75,US,1970-01-01 00:00:01.595199933,56,72.0,64.86,-147.8,3.36
Keti Bandar,89,PK,1970-01-01 00:00:01.595199933,78,85.93,24.14,67.45,20.42
Liusha,97,CN,1970-01-01 00:00:01.595199933,100,64.24,27.21,108.59,1.83
Bubaque,100,GW,1970-01-01 00:00:01.595199933,83,80.17,11.28,-15.83,17.96
Rovereto,23,IT,1970-01-01 00:00:01.595199934,76,71.01,45.89,11.04,1.03
Olafsvik,21,IS,1970-01-01 00:00:01.595199934,79,48.27,64.89,-23.71,6.53
Kenitra,40,MA,1970-01-01 00:00:01.595199934,94,69.8,34.26,-6.58,6.93
Ilulissat,91,GL,1970-01-01 00:00:01.595199934,46,53.6,69.22,-51.1,2.24
Mossamedes,0,AO,1970-01-01 00:00:01.595199934,73,67.46,-15.2,12.15,7.02
Todos Santos,5,MX,1970-01-01 00:00:01.595199934,73,82.0,23.45,-110.22,4.0
Lucapa,0,AO,1970-01-01 00:00:01.595199934,38,59.45,-8.42,20.74,3.47
Machinga,1,MW,1970-01-01 00:00:01.595199935,85,55.98,-15.17,35.3,2.8
Maragogi,52,BR,1970-01-01 00:00:01.595199935,87,74.37,-9.01,-35.22,12.12
Saint-Augustin,55,CA,1970-01-01 00:00:01.595199707,61,71.17,51.23,-58.65,11.05
Kostino,96,RU,1970-01-01 00:00:01.595199935,95,59.49,58.91,53.27,9.37
Los Llanos de Aridane,0,ES,1970-01-01 00:00:01.595199935,78,78.01,28.66,-17.92,14.99
Trat,100,TH,1970-01-01 00:00:01.595199935,88,76.91,12.5,102.5,1.9
Talnakh,94,RU,1970-01-01 00:00:01.595199935,81,48.2,69.49,88.4,15.66
Juegang,98,CN,1970-01-01 00:00:01.595199935,95,73.67,32.32,121.19,4.14
Nsanje,1,MW,1970-01-01 00:00:01.595199936,90,60.46,-16.92,35.26,3.09
Yārāda,40,IN,1970-01-01 00:00:01.595199936,88,82.4,17.65,83.27,4.7
Ballina,0,AU,1970-01-01 00:00:01.595199936,100,62.01,-28.87,153.57,7.65
Kabanjahe,40,ID,1970-01-01 00:00:01.595199936,100,77.0,3.1,98.49,2.24
Hamilton,40,US,1970-01-01 00:00:01.595199936,100,73.4,39.18,-84.53,11.41
Chumikan,100,RU,1970-01-01 00:00:01.595199932,95,53.92,54.72,135.31,11.43
Pokhara,99,NP,1970-01-01 00:00:01.595199936,85,71.15,28.23,83.98,1.54
Chokurdakh,67,RU,1970-01-01 00:00:01.595199707,44,72.93,70.63,147.92,17.31
Esim,41,GH,1970-01-01 00:00:01.595199936,92,75.02,4.87,-2.24,6.13
Dakar,20,SN,1970-01-01 00:00:01.595199937,88,80.6,14.69,-17.44,4.7
Mahajanga,20,MG,1970-01-01 00:00:01.595199937,49,71.6,-15.72,46.32,12.75
Saint George,1,US,1970-01-01 00:00:01.595199851,7,107.01,37.1,-113.58,12.75
Sheregesh,40,RU,1970-01-01 00:00:01.595199937,82,52.9,52.92,87.99,2.55
Sørland,68,NO,1970-01-01 00:00:01.595199740,85,55.11,67.67,12.69,12.24
Hirara,40,JP,1970-01-01 00:00:01.595199937,83,84.2,24.8,125.28,6.93
Vaini,90,TO,1970-01-01 00:00:01.595199930,100,66.2,-21.2,-175.2,4.7
Aasiaat,98,GL,1970-01-01 00:00:01.595199937,66,45.63,68.71,-52.87,7.14
Castro,21,BR,1970-01-01 00:00:01.595199938,90,58.01,-24.79,-50.01,3.53
Mahébourg,75,MU,1970-01-01 00:00:01.595199938,77,68.0,-20.41,57.7,14.99
Buchanan,75,LR,1970-01-01 00:00:01.595199938,94,77.0,5.88,-10.05,10.29
Monrovia,75,LR,1970-01-01 00:00:01.595199938,94,77.0,6.3,-10.8,11.12
Sa Kaeo,100,TH,1970-01-01 00:00:01.595199938,93,76.71,13.81,102.07,2.75
Ancud,20,CL,1970-01-01 00:00:01.595199938,100,48.99,-41.87,-73.82,6.93
Brewster,1,US,1970-01-01 00:00:01.595199938,55,87.8,41.4,-73.62,12.75
Kroya,45,ID,1970-01-01 00:00:01.595199938,88,74.82,-7.63,109.25,6.4
Tancheng,99,CN,1970-01-01 00:00:01.595199939,93,78.24,27.44,115.5,1.59
Berezovyy,92,RU,1970-01-01 00:00:01.595199939,82,71.51,51.67,135.7,2.68
Ahipara,68,NZ,1970-01-01 00:00:01.595199844,80,61.95,-35.17,173.17,4.61
High Rock,40,BS,1970-01-01 00:00:01.595199731,79,84.2,26.62,-78.28,11.41
West Wendover,1,US,1970-01-01 00:00:01.595199836,11,96.8,40.74,-114.07,9.17
Alofi,100,NU,1970-01-01 00:00:01.595199664,74,78.8,-19.06,-169.92,12.75
Kieta,0,PG,1970-01-01 00:00:01.595199940,67,83.71,-6.22,155.63,4.88
Porto-Novo,40,BJ,1970-01-01 00:00:01.595199730,94,77.0,6.5,2.6,6.93
Saint-François,0,FR,1970-01-01 00:00:01.595199940,77,63.0,46.42,3.91,3.36
Vila do Maio,75,CV,1970-01-01 00:00:01.595199940,78,78.8,15.13,-23.22,12.75
Jiuquan,97,CN,1970-01-01 00:00:01.595199940,21,72.16,39.74,98.52,1.83
Coahuayana Viejo,75,MX,1970-01-01 00:00:01.595199940,69,82.4,18.73,-103.68,11.41
Nome,75,US,1970-01-01 00:00:01.595199694,62,57.2,64.5,-165.41,9.17
Borogontsy,70,RU,1970-01-01 00:00:01.595199940,70,75.81,62.67,131.17,6.64
Saskylakh,38,RU,1970-01-01 00:00:01.595199941,67,56.97,71.92,114.08,10.25
Hasaki,75,JP,1970-01-01 00:00:01.595199704,94,75.99,35.73,140.83,8.05
Karasburg,0,NA,1970-01-01 00:00:01.595199941,29,58.86,-28.02,18.75,11.45
Muaná,100,BR,1970-01-01 00:00:01.595199941,74,79.39,-1.53,-49.22,7.11
Aden,49,YE,1970-01-01 00:00:01.595199941,68,86.36,12.78,45.04,20.94
Sakaiminato,75,JP,1970-01-01 00:00:01.595199941,88,80.6,35.55,133.23,2.24
São Luiz Gonzaga,0,BR,1970-01-01 00:00:01.595199821,84,67.5,-28.41,-54.96,8.01
Goundam,7,ML,1970-01-01 00:00:01.595199845,42,91.45,16.41,-3.67,1.39
Mawlaik,100,MM,1970-01-01 00:00:01.595199942,94,76.98,23.63,94.42,2.26
Tautira,75,PF,1970-01-01 00:00:01.595199699,69,80.6,-17.73,-149.15,4.7
Eureka,10,US,1970-01-01 00:00:01.595199934,79,68.0,40.8,-124.16,7.0
Auch,0,FR,1970-01-01 00:00:01.595199942,55,73.99,43.65,0.58,2.3
Saint Paul Harbor,90,US,1970-01-01 00:00:01.595199794,87,57.2,57.79,-152.41,10.29
Ozark,23,US,1970-01-01 00:00:01.595199942,49,91.0,37.02,-93.21,1.01
Kachug,1,RU,1970-01-01 00:00:01.595199942,69,49.17,53.96,105.88,3.38
San Pedro de Lloc,11,PE,1970-01-01 00:00:01.595199943,79,63.14,-7.43,-79.51,14.99
Ulladulla,0,AU,1970-01-01 00:00:01.595199784,53,52.0,-35.35,150.47,11.41
Atambua,5,ID,1970-01-01 00:00:01.595199943,79,68.54,-9.11,124.89,5.01
Rāmpura,57,IN,1970-01-01 00:00:01.595199943,76,82.49,30.25,75.23,10.16
Poopó,0,BO,1970-01-01 00:00:01.595199943,41,48.0,-18.37,-66.97,5.5
Lebu,1,CL,1970-01-01 00:00:01.595199711,90,51.49,-37.62,-73.65,12.59
Bambanglipuro,42,ID,1970-01-01 00:00:01.595199943,89,75.02,-7.95,110.28,7.0
Bukene,3,TZ,1970-01-01 00:00:01.595199943,58,60.67,-4.23,32.88,5.75
Eyl,92,SO,1970-01-01 00:00:01.595199944,64,79.18,7.98,49.82,24.67
Helong,100,CN,1970-01-01 00:00:01.595199944,91,63.99,42.54,129.0,1.79
Jaqué,100,PA,1970-01-01 00:00:01.595199944,82,81.19,7.52,-78.17,4.99
Linxia Chengguanzhen,45,CN,1970-01-01 00:00:01.595199944,64,56.41,35.6,103.21,2.82
Ubinskoye,67,RU,1970-01-01 00:00:01.595199944,93,65.28,55.31,79.68,6.33
Petropavlovka,4,RU,1970-01-01 00:00:01.595199944,64,52.21,50.61,105.32,2.08
Fort Nelson,75,CA,1970-01-01 00:00:01.595199944,43,73.4,58.81,-122.7,11.41
Montgomery,20,US,1970-01-01 00:00:01.595199749,44,96.8,39.15,-77.2,4.7
Gemeente Wageningen,90,NL,1970-01-01 00:00:01.595199945,93,61.0,51.97,5.67,8.05
Kozhva,3,RU,1970-01-01 00:00:01.595199945,94,49.15,65.11,57.05,0.89
Lüderitz,0,NA,1970-01-01 00:00:01.595199737,26,71.6,-26.65,15.16,11.41
Comodoro Rivadavia,90,AR,1970-01-01 00:00:01.595199897,100,42.8,-45.87,-67.5,14.99
Doha,21,QA,1970-01-01 00:00:01.595199936,75,97.0,25.29,51.53,4.7
Southern Pines,90,US,1970-01-01 00:00:01.595199945,53,95.0,35.17,-79.39,4.7
Angoche,1,MZ,1970-01-01 00:00:01.595199814,82,70.84,-16.23,39.91,9.82
Zabaykal'sk,0,RU,1970-01-01 00:00:01.595199945,83,52.23,49.63,117.32,11.56
Kruisfontein,0,ZA,1970-01-01 00:00:01.595199946,40,52.77,-34.0,24.73,4.85
Lorengau,76,PG,1970-01-01 00:00:01.595199946,70,83.82,-2.02,147.27,9.48
Broome,20,US,1970-01-01 00:00:01.595199716,83,73.99,42.25,-75.83,8.05
Nanortalik,3,GL,1970-01-01 00:00:01.595199702,75,48.94,60.14,-45.24,7.18
Camacha,20,PT,1970-01-01 00:00:01.595199946,77,69.8,33.08,-16.33,9.17
Lodja,93,CD,1970-01-01 00:00:01.595199946,46,71.37,-3.48,23.43,1.57
Aripuanã,38,BR,1970-01-01 00:00:01.595199946,46,82.26,-9.17,-60.63,2.37
Valdepeñas,35,ES,1970-01-01 00:00:01.595199947,20,82.99,38.76,-3.38,1.01
Hithadhoo,100,MV,1970-01-01 00:00:01.595199812,77,83.52,-0.6,73.08,16.37
Prieska,0,ZA,1970-01-01 00:00:01.595199947,39,48.78,-29.66,22.75,1.1
Salalah,75,OM,1970-01-01 00:00:01.595199947,88,80.6,17.02,54.09,4.7
Wangou,100,CN,1970-01-01 00:00:01.595199947,98,61.65,42.06,126.91,2.19
Tahe,100,CN,1970-01-01 00:00:01.595199947,95,62.56,52.33,124.73,6.15
San Juan del Sur,40,NI,1970-01-01 00:00:01.595199947,83,82.4,11.25,-85.87,17.22
Kharan,1,PK,1970-01-01 00:00:01.595199947,61,83.28,28.58,65.42,11.48
Hue,20,VN,1970-01-01 00:00:01.595199800,83,78.8,16.47,107.6,4.7
San Quintín,0,MX,1970-01-01 00:00:01.595199714,53,77.77,30.48,-115.95,19.62
El Dorado,1,US,1970-01-01 00:00:01.595199948,52,93.2,33.21,-92.67,5.82
Lavrentiya,66,RU,1970-01-01 00:00:01.595199948,62,50.4,65.58,-171.0,10.0
Mount Gambier,40,AU,1970-01-01 00:00:01.595199948,93,44.6,-37.83,140.77,6.93
Takoradze,7,GH,1970-01-01 00:00:01.595199948,91,75.07,4.88,-1.76,6.82
Toora-Khem,0,RU,1970-01-01 00:00:01.595199948,69,50.54,52.47,96.11,1.34
Portland,20,US,1970-01-01 00:00:01.595199922,40,91.0,45.52,-122.68,10.29
Ponta do Sol,20,PT,1970-01-01 00:00:01.595199708,64,71.6,32.67,-17.1,6.93
General Roca,72,AR,1970-01-01 00:00:01.595199949,87,51.8,-39.03,-67.58,3.36
Praia,75,CV,1970-01-01 00:00:01.595199945,78,78.8,14.92,-23.51,12.75
Uray,36,RU,1970-01-01 00:00:01.595199949,78,61.2,60.12,64.78,11.86
Vilyuysk,100,RU,1970-01-01 00:00:01.595199949,91,60.33,63.76,121.62,9.71
Yantal',0,RU,1970-01-01 00:00:01.595199920,76,50.56,56.85,105.25,1.86
Lompoc,6,US,1970-01-01 00:00:01.595199949,64,71.01,34.64,-120.46,16.11
Qandala,53,SO,1970-01-01 00:00:01.595199950,57,86.32,11.47,49.87,8.16
Kahului,20,US,1970-01-01 00:00:01.595199950,55,87.8,20.89,-156.47,27.51
Muhos,62,FI,1970-01-01 00:00:01.595199950,87,59.0,64.81,25.99,2.24
Saint John,90,CA,1970-01-01 00:00:01.595199950,100,64.0,45.27,-66.07,12.75
Necochea,76,AR,1970-01-01 00:00:01.595199950,95,52.0,-38.55,-58.74,8.01
Tateyama,75,JP,1970-01-01 00:00:01.595199950,94,75.2,34.98,139.87,1.12
Pevek,0,RU,1970-01-01 00:00:01.595199950,58,46.87,69.7,170.31,5.14
Esperance,90,AU,1970-01-01 00:00:01.595199951,87,46.4,-33.87,121.9,5.82
Cabo San Lucas,20,MX,1970-01-01 00:00:01.595199675,33,96.01,22.89,-109.91,21.92
Dalvik,40,IS,1970-01-01 00:00:01.595199951,76,48.2,65.97,-18.53,10.29
Kitimat,69,CA,1970-01-01 00:00:01.595199951,64,72.0,54.05,-128.65,1.01
Dingle,63,PH,1970-01-01 00:00:01.595199951,85,79.0,11.0,122.67,3.65
Samaná,75,DO,1970-01-01 00:00:01.595199951,83,82.4,19.21,-69.34,4.7
Ostrovnoy,0,RU,1970-01-01 00:00:01.595199951,72,61.88,68.05,39.51,14.52
Port-Cartier,75,CA,1970-01-01 00:00:01.595199951,77,71.01,50.03,-66.87,11.41
Yar-Sale,0,RU,1970-01-01 00:00:01.595199755,82,48.18,66.83,70.83,8.66
São José de Piranhas,38,BR,1970-01-01 00:00:01.595199952,77,71.65,-7.12,-38.5,10.58
Santa Fe,68,AR,1970-01-01 00:00:01.595199952,75,66.0,-31.63,-60.7,7.0
Usogorsk,0,RU,1970-01-01 00:00:01.595199952,83,52.59,63.41,48.69,4.47
Velvary,95,CZ,1970-01-01 00:00:01.595199952,93,64.0,50.28,14.24,5.82
Basti,100,IN,1970-01-01 00:00:01.595199683,96,78.39,26.8,82.72,5.68
Nacozari,21,MX,1970-01-01 00:00:01.595199953,54,96.01,25.34,-108.26,11.01
Bengkulu,46,ID,1970-01-01 00:00:01.595199674,91,75.4,-3.8,102.27,5.06
Yāval,100,IN,1970-01-01 00:00:01.595199953,82,79.61,21.17,75.7,10.94
Kamaishi,90,JP,1970-01-01 00:00:01.595199743,87,69.71,39.27,141.88,1.81
Gamba,76,GA,1970-01-01 00:00:01.595199953,82,72.77,-2.65,10.0,5.35
Rasrā,100,IN,1970-01-01 00:00:01.595199953,91,80.37,25.85,83.85,5.41
Tuatapere,96,NZ,1970-01-01 00:00:01.595199953,83,39.0,-46.13,167.68,3.0
Vrangel',100,RU,1970-01-01 00:00:01.595199953,85,66.38,42.73,133.08,17.34
Dire Dawa,3,ET,1970-01-01 00:00:01.595199954,60,68.72,9.59,41.87,21.65
Moranbah,34,AU,1970-01-01 00:00:01.595199954,66,63.7,-22.0,148.05,6.2
Kaoma,0,ZM,1970-01-01 00:00:01.595199954,78,48.24,-14.78,24.8,6.08
Ibotirama,22,BR,1970-01-01 00:00:01.595199954,60,69.94,-12.19,-43.22,5.44
Dhārchula,57,IN,1970-01-01 00:00:01.595199954,75,68.4,29.85,80.53,1.59
